iid,id,gender,partner,pid,match,int_corr,samerace,age_o,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob
1,1,0,1,11,0,0.14,0,27,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,6,9,7,7,6,5,7,6
1,1,0,2,12,0,0.54,0,22,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,7,8,7,8,5,6,7,5
1,1,0,3,13,1,0.16,1,22,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,5,8,9,8,5,7,7,0
1,1,0,4,14,1,0.61,0,23,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,7,6,8,7,6,8,7,6
1,1,0,5,15,1,0.21,0,24,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,5,6,7,7,6,6,6,6
1,1,0,6,16,0,0.25,0,25,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,0,4,9,7,4,6,4,6,5
1,1,0,7,17,0,0.34,0,30,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,7,6,7,4,6,7,6,5
1,1,0,8,18,0,0.5,0,27,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,0,4,9,7,6,5,6,6,7
1,1,0,9,19,1,0.28,0,28,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,7,6,8,9,8,8,7,7
1,1,0,10,20,0,-0.36,0,24,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,5,6,6,8,10,8,6,6
2,2,0,1,11,0,0.29,1,27,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,5,7,8,4,6,3,6,4
2,2,0,2,12,0,0.18,1,22,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,8,5,6,6,9,6,7,3
2,2,0,3,13,0,0.1,0,22,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,5,8,9,6,3,4,6,7
